Date	Variation
08-07	-0.0945362195233141
08-08	0.47143001707356
08-09	0.694899473895187
08-10	0.926830036087345
08-11	1.40493767270043
08-12	2.33578782869081
09-01	1.51881892761456
09-02	0.893102534273033
09-03	2.15125064804327
09-04	0.833569439522224
09-05	0.151752726872046
09-06	0.293669604936261
09-07	0.965236773198128
09-08	0.261635333843741
09-09	0.793085952121019
09-10	0.392985995257477
09-11	1.64858925157916
09-12	2.00885858394999
10-01	3.2071243267656
10-02	2.28400647411436
10-03	1.39035409590138
10-04	0.645193173269466
10-05	0.73967588204237
10-06	1.07123858251644
10-07	-0.187932226942878
10-08	1.41644197839735
10-09	0.933495217399702
10-10	1.44524882331813
10-11	1.40195117395518
10-12	1.87431941830127
11-01	3.096886710615
11-02	2.13009020709946
11-03	2.74117598615254
11-04	1.67980638043298
11-05	1.72072154180839
11-06	0.121483912242173
11-07	0.883390358370279
11-08	1.58112311535382
11-09	1.59299597087813
11-10	2.52002400968706
11-11	2.37033548923
11-12	2.63367999928504
12-01	1.96211412213629
12-02	3.2046353136476
12-03	2.88554778615085
12-04	1.41273954079782
12-05	1.13704465501818
12-06	1.26921435539248
12-07	1.43036564553818
12-08	1.41762904317422
12-09	1.47470469386241
12-10	1.68213582395297
12-11	2.29324245139441
12-12	2.44852263639074
13-01	2.98231393269508
13-02	2.29727985225593
13-03	2.2792491554878
13-04	1.94771402102956
13-05	1.68656618714032
13-06	0.494577142535042
13-07	0.88677947797925
